,srno,mobmake,hubid,hubpincode,pickuppartnerid,deliverypartnerid,insuranceCompanyId,custpincodecategory,claimtype,custpincode,memcreateddate,mobilepurchasedate,claimintdate,servicecntrid,pickupStartdate,sub,tat_in_days
0,2829088,13,3,560011,233,233,131,1,0,560093,2017-07-30,2017-07-27,2018-02-01,4467,2018-02-06,3,12.322396144341246
1,2829866,10,2,110018,233,233,228,1,0,110034,2017-07-17,2017-01-25,2018-02-01,4388,2018-02-08,12,11.851577510836783
2,2894489,10,3,560011,233,233,228,3,0,590014,2018-01-12,2018-01-11,2018-02-21,4460,2018-02-28,0,13.552868965859432
3,2876708,10,2,110018,233,233,228,2,0,250110,2017-08-07,2017-05-21,2018-02-16,4388,2018-02-26,13983,13.029780652211036
4,2890283,13,22,400104,233,233,131,3,0,496001,2017-11-10,2017-09-22,2018-02-20,4581,2018-02-23,91286,14.4037331701631
5,2897438,15,6,160059,233,233,131,2,0,160036,2017-12-12,2017-12-10,2018-02-22,4549,2018-02-27,21986,13.405347942859217
6,2849010,15,2,110018,233,233,228,1,0,110065,2017-09-08,2017-05-07,2018-02-07,4091,2018-03-02,41,13.352183527893683
7,2887783,30,2,110018,233,233,228,1,0,110092,2018-02-02,2017-09-22,2018-02-19,4095,2018-02-26,9058,14.909722476465411
8,2941799,13,21,110015,233,233,131,2,0,124001,2017-12-31,2017-06-26,2018-03-05,4580,2018-03-14,65,12.242975987634123
9,2973976,13,22,400104,233,233,131,1,0,400011,2017-05-22,2018-03-26,2018-03-13,4581,2018-03-17,9997,11.34009588922516
10,2977421,21,2,110018,233,233,131,1,0,110006,2017-12-31,2017-12-25,2018-03-13,4154,2018-03-19,26090,14.551688247372272
11,2982990,13,26,560066,233,233,131,1,0,600097,2017-06-12,2017-06-10,2018-03-15,5001,2018-03-20,40103,10.149422230469488
12,2979785,10,2,110018,233,233,131,1,0,201301,2017-10-24,2017-10-21,2018-03-14,4388,2018-03-20,7,12.340589125595308
13,2984029,19,1,400059,233,233,131,2,0,440027,2018-02-25,2018-02-13,2018-03-15,4011,2018-03-19,25,15.53305210727186
14,3012909,4,2,110018,233,233,131,1,0,201301,2017-11-18,2017-07-11,2018-03-24,4148,2018-03-29,73,12.582062874022872
15,3030307,10,27,110034,233,233,131,1,0,110092,2017-11-16,2017-08-25,2018-03-28,4388,2018-03-31,11985,11.54584730700126
16,3048314,13,7,500004,233,233,131,1,0,500011,2018-02-07,2017-04-25,2018-04-02,4403,2018-04-10,40009,12.919203497234387
17,3060524,15,2,110018,233,233,228,1,0,110029,2018-03-15,2018-02-08,2018-04-06,4094,2018-04-12,90995,14.547711528390533
18,3064259,13,21,110015,233,233,131,2,0,124001,2017-05-05,2017-05-02,2018-04-07,4580,2018-04-17,52,12.24280364424131
19,3057867,15,2,110018,308,233,228,1,0,110092,2018-03-18,2018-03-18,2018-04-05,4550,2018-04-16,90996,12.987305137683077
